FID,SAMPLEID,SOILTYPE,DEPTH_m,X_EUREF,Y_EUREF,MULTIBLE_TILL,PROFILE,PROFILE_END,SUBTILL_SORTED
20680,48343,moreeni,1.5,506904.7478,7481752.915,No,Profile,No,No
20681,48344,moreeni,1.5,506904.7464,7481652.955,No,Profile,No,No
20682,48345,moreeni,1.8,506904.7449,7481552.995,No,Profile,No,No
20683,48346,moreeni,1.3,506904.7435,7481453.035,No,Profile,No,No
20684,48347,moreeni,1.8,506904.742,7481353.075,No,Profile,No,No
20685,48348,moreeni,1.5,506894.7446,7481253.115,No,Profile,No,No
20686,48349,moreeni,1.8,506894.7432,7481153.155,No,Profile,No,No
20687,48350,moreeni,1.4,506884.7458,7481053.195,No,Profile,No,No
20688,48351,moreeni,1,506884.7443,7480953.235,No,Profile,No,No
20689,48352,hiekka,2,506884.7429,7480853.275,No,Profile,No,No
20690,48353,moreeni,1.1,506874.7455,7480753.315,No,Profile,No,No
20691,48354,moreeni,2,506874.744,7480653.355,No,Profile,No,No
20692,48355,moreeni,3,506874.7426,7480553.395,No,Profile,No,No
20693,48356,moreeni,3,506884.7369,7480443.439,No,Profile,No,No
20694,48357,moreeni,2,506884.7354,7480333.482,No,Profile,No,No
20695,48358,hiekka,3,506884.7338,7480223.526,No,Profile,No,No
20696,48359,moreeni,1,506884.7323,7480123.566,No,Profile,No,No
20697,48360,moreeni,1.2,506874.7349,7480023.606,No,Profile,No,No
20698,48361,moreeni,1.5,506884.7294,7479923.646,No,Profile,No,No
20699,48362,moreeni,2,506874.7322,7479833.682,No,Profile,No,No
