FID,SAMPLEID,SOILTYPE,DEPTH_m,X,Y
23353,21285,0,2,503106.391,7500635.401
23354,21286,0,1.3,503066.4076,7500725.365
23355,21287,0,1.7,503026.4242,7500825.325
23356,21288,0,2,502976.4447,7500905.294
23357,21289,0,2,502956.4532,7501005.255
23358,21290,0,2,502896.4778,7501095.219
23359,21291,0,2,502856.4943,7501185.184
23360,21292,0,2.5,502806.5148,7501275.149
23361,21293,1,2.4,502766.5313,7501365.114
23362,21294,0,2.5,502726.5478,7501455.079
23363,21295,0,2,502676.5684,7501545.043
23364,21296,0,2,502626.589,7501645.004
23365,21297,0,2,502596.6015,7501734.969
23366,21298,0,2,502546.622,7501824.934
23367,21299,0,2,502506.6385,7501914.898
23368,21300,0,2,502466.655,7502004.863
23369,21301,0,2.3,502426.6715,7502094.828
23370,21302,0,2,502366.6962,7502204.785
23371,21303,0,2,502326.7127,7502304.746
23372,21304,0,1.2,502286.7293,7502394.71
23373,21305,0,1.4,502246.7458,7502484.675
23374,21306,0,2.5,502206.7623,7502584.636
23375,21307,0,2.5,502166.7788,7502664.605
23376,21308,0,2.5,502126.7953,7502754.569
23377,21309,0,3,502076.8159,7502844.534
23378,21310,0,4,502036.8324,7502944.495
23379,21311,0,3,501996.8489,7503034.46
23380,21312,0,3,501956.8655,7503134.42
23381,21313,0,3,501916.882,7503224.385
23382,21314,0,3,501866.9025,7503314.35
23383,21315,0,3,501836.915,7503404.315
23384,21316,0,3,501786.9356,7503494.279
23385,21317,0,3,501736.9562,7503594.24
23386,21318,0,3,501696.9727,7503684.205
23387,21319,0,4,501646.9933,7503784.166
23388,21320,0,4,501607.0097,7503864.135
23389,21321,0,3.3,501567.0262,7503954.099
23390,21322,0,2,501537.0387,7504044.064
23391,21323,0,2,501487.0593,7504144.025
23392,21324,0,2,501447.0758,7504223.994
23393,21325,0,1.3,501407.0923,7504323.954
23394,21326,0,2,501367.1089,7504413.919
23395,21327,0,0.7,501327.1254,7504503.884
23396,21328,0,1.5,501287.1418,7504583.853
23397,21329,0,1,501257.1543,7504673.817
23398,21330,0,0.5,501217.1708,7504753.786
23399,21331,0,1,501137.2038,7504923.719
23400,21332,0,1,501097.2202,7505003.688
23401,21333,0,1.1,501057.2368,7505103.649
23402,21334,0,0.4,501007.2574,7505203.61
23403,21335,0,1,500967.2739,7505283.578
23404,21336,0,1,500927.2904,7505383.539
23405,21337,0,1,500887.3069,7505463.508
23406,21338,0,1.6,500847.3234,7505553.473
23407,21339,0,2,500807.3399,7505643.437
23408,21340,0,1.8,500757.3604,7505733.402
23409,21341,0,1,500717.377,7505823.367
23410,21342,0,1.4,500667.3975,7505913.332
23411,21343,0,2,500637.41,7506003.296
23412,21344,0,2,500587.4305,7506093.261
23413,21345,0,1,500147.5979,7504174.021
23414,21345,0,1.8,500147.5979,7504174.021
23415,21346,0,2.7,500217.5693,7504084.056
23416,21347,0,3,500287.5408,7504004.087
23417,21348,0,3,500347.5163,7503924.118
23418,21349,0,2.5,500407.4919,7503864.141
23419,21349,0,3.5,500407.4919,7503864.141
23420,21349,0,4.5,500407.4919,7503864.141
23421,21349,0,5.2,500407.4919,7503864.141
23422,21350,0,2.3,500437.4795,7503784.173
23423,21351,0,1.2,500477.4629,7503684.212
23424,21352,0,1.1,500507.4505,7503604.243
23425,21353,0,1,500547.4339,7503514.279
23426,21353,0,1.8,500547.4339,7503514.279
23427,21354,0,1.5,500597.4134,7503424.314
23428,21355,0,1.2,500627.4009,7503324.353
23429,21356,0,1,500667.3843,7503224.392
23430,21357,0,1,500707.3678,7503134.427
23431,21357,0,2,500707.3678,7503134.427
23432,21357,0,2.5,500707.3678,7503134.427
23433,21358,0,2.3,500747.3513,7503044.463
23434,21359,0,2.3,500787.3347,7502944.502
23435,21360,0,2.3,500837.3142,7502854.537
23436,21361,0,1,500877.2977,7502764.572
23437,21361,0,2,500877.2977,7502764.572
23438,21361,0,2.2,500877.2977,7502764.572
23439,21362,0,2.3,500907.2852,7502684.604
23440,21363,0,2.3,500947.2687,7502604.635
23441,21364,0,2.3,501007.2442,7502514.67
23442,21365,0,1,501057.2237,7502424.705
23443,21365,0,2,501057.2237,7502424.705
23444,21365,0,3,501057.2237,7502424.705
23445,21365,0,4,501057.2237,7502424.705
23446,21365,0,5,501057.2237,7502424.705
23447,21365,0,6,501057.2237,7502424.705
23448,21366,0,2,501117.1992,7502344.737
23449,21367,0,3,501167.1787,7502264.768
23450,21368,0,3,501187.1702,7502184.799
23451,21369,0,1,501177.1737,7502074.843
23452,21369,0,2,501177.1737,7502074.843
23453,21369,0,3,501177.1737,7502074.843
23454,21369,0,4,501177.1737,7502074.843
23455,21369,0,4.6,501177.1737,7502074.843
23456,21370,0,2,501197.1652,7501984.878
23457,21371,0,3,501247.1447,7501894.913
23458,21372,0,2,501277.1322,7501804.949
23459,21373,1,1,501317.1157,7501714.984
23460,21373,0,2,501317.1157,7501714.984
23461,21373,0,3,501317.1157,7501714.984
23462,21373,0,4,501317.1157,7501714.984
23463,21373,0,4.8,501317.1157,7501714.984
23464,21374,0,2,501347.1033,7501645.011
23465,21375,0,2,501377.0908,7501555.047
23466,21376,0,2,501417.0744,7501485.074
23467,21377,0,1,501447.0619,7501395.109
23468,21377,0,1.6,501447.0619,7501395.109
23469,21378,0,2,501487.0453,7501295.149
23470,21379,0,2,501527.0288,7501205.184
23471,21380,0,3,501577.0083,7501115.219
23472,21381,1,1,501606.9958,7501025.254
23473,21381,1,2,501606.9958,7501025.254
23474,21381,1,3,501606.9958,7501025.254
23475,21382,0,2,501646.9792,7500925.294
23476,21383,0,2,501686.9628,7500845.325
23477,21384,0,2,501726.9462,7500745.364
23478,21385,0,1,501766.9298,7500675.391
23479,21385,0,1.6,501766.9298,7500675.391
23480,21386,0,1.4,501806.9132,7500575.431
23481,21387,0,1.5,501846.8967,7500485.466
23482,21388,0,1.3,501886.8801,7500385.505
23483,21389,0,1,501926.8637,7500305.536
23484,21389,0,1.7,501926.8637,7500305.536
23485,21390,0,2,501966.8472,7500215.572
23486,21391,0,2,501996.8347,7500125.607
23487,21392,0,2,502036.8181,7500025.646
23488,21393,0,1,502076.8015,7499935.682
23489,21393,0,2,502076.8015,7499935.682
23490,21393,0,3,502076.8015,7499935.682
23491,21393,0,4,502076.8015,7499935.682
23492,21393,0,5,502076.8015,7499935.682
23493,21393,0,5.6,502076.8015,7499935.682
23494,21394,0,2,502126.7809,7499845.718
23495,21395,0,2,502186.7561,7499725.766
23496,21396,0,2,502206.7476,7499645.797
23497,21397,0,3,500547.447,7506183.226
23498,21398,0,3,500507.4635,7506273.191
23499,21399,0,3,500467.4801,7506363.155
23500,21400,0,3,500427.4965,7506443.124
23501,21401,0,5,500387.5131,7506543.085
23502,21402,0,5,500347.5296,7506633.05
23503,21403,0,2,503166.3945,7506243.188
23504,21404,0,2,503176.3911,7506353.144
23505,21405,0,2,503186.3875,7506443.109
23506,21406,0,2,503196.384,7506543.069
23507,21407,0,1.7,503206.3804,7506633.034
23508,21408,0,2,503216.3768,7506732.994
23509,21409,0,1.6,503226.3734,7506842.951
23510,11945,0,0.9,500367.5513,7512580.699
23511,11979,0,0.4,509803.7624,7513580.256
23512,11980,0,1.3,509803.7624,7513580.256
23513,11982,0,0.4,509743.7869,7513660.225
23514,11984,0,0.5,509693.8074,7513750.19
23515,11986,0,0.4,509643.8279,7513830.159
23516,11987,0,1,509643.8279,7513830.159
23517,11989,0,0.4,509583.8525,7513920.124
23518,11990,0,1.1,509583.8525,7513920.124
23519,11992,0,0.4,509533.8729,7513990.096
23520,11993,0,1.2,509533.8729,7513990.096
23521,11996,0,1.1,509473.8974,7514070.065
23522,11998,0,0.4,509423.9179,7514160.03
23523,11999,0,1.2,509423.9179,7514160.03
23524,12001,0,0.4,509363.9424,7514239.999
23525,12002,0,1.3,509363.9424,7514239.999
23526,12004,0,0.4,509663.8223,7514319.965
23527,12008,0,1.5,509243.9915,7514419.928
23528,15132,0,2,500827.3886,7516739.042
23529,15133,0,3,500827.3886,7516739.042
23530,15134,0,3.8,500827.3886,7516739.042
23531,15137,0,1,500827.3891,7516839.002
23532,15138,0,2,500827.3891,7516839.002
23533,15139,0,2.8,500827.3891,7516839.002
23534,28601,0,0.3,509623.8309,7512800.565
23535,28602,0,0.8,509623.8309,7512800.565
23536,28603,0,1.3,509623.8309,7512800.565
23537,28604,0,2,509623.8309,7512800.565
23538,28605,0,2.8,509623.8309,7512800.565
23539,20198,3,1,508644.2023,7508242.368
23540,20198,0,2,508644.2023,7508242.368
23541,20198,0,3,508644.2023,7508242.368
23542,20198,2,4,508644.2023,7508242.368
23543,20198,2,4,508644.2023,7508242.368
23544,20198,2,4.2,508644.2023,7508242.368
23545,20198,2,4.2,508644.2023,7508242.368
23546,20199,1,1,507604.6302,7510281.57
23547,20199,1,2,507604.6302,7510281.57
23548,20199,0,3,507604.6302,7510281.57
